crop,growth_stage,kc_initial,kc_mid,kc_end,root_depth_min_m,root_depth_max_m,depletion_fraction_p,source,notes
Tomato,Initial,0.60,1.15,0.80,0.7,1.5,0.40,FAO-56 Table 12,"Solanum lycopersicum; sensitive to water deficit during flowering and fruit setting"
Tomato,Development,0.60,1.15,0.80,0.7,1.5,0.40,FAO-56 Table 12,"Rapid canopy expansion phase; Kc increases linearly from Kc_ini to Kc_mid"
Tomato,Mid-season,0.60,1.15,0.80,0.7,1.5,0.40,FAO-56 Table 12,"Peak reproductive stage; high water consumption Kc_mid=1.15"
Tomato,Late-season,0.60,1.15,0.80,0.7,1.5,0.40,FAO-56 Table 12,"Ripening and harvest stage; Kc declines towards Kc_end=0.80"
Wheat,Initial,0.30,1.15,0.25,1.0,1.8,0.55,FAO-56 Table 12,"Triticum aestivum; winter/spring grain crop; low soil cover initially"
Wheat,Development,0.30,1.15,0.25,1.0,1.8,0.55,FAO-56 Table 12,"Tillering and stem elongation; canopy cover expands"
Wheat,Mid-season,0.30,1.15,0.25,1.0,1.8,0.55,FAO-56 Table 12,"Heading and flowering stage; peak water demand Kc_mid=1.15"
Wheat,Late-season,0.30,1.15,0.25,1.0,1.8,0.55,FAO-56 Table 12,"Grain filling and senescence; Kc_end=0.25-0.40"
Maize,Initial,0.30,1.20,0.35,1.0,1.7,0.55,FAO-56 Table 12,"Zea mays; grain and sweet corn; emergence and early vegetative"
Maize,Development,0.30,1.20,0.35,1.0,1.7,0.55,FAO-56 Table 12,"Rapid vegetative growth and leaf area index accumulation"
Maize,Mid-season,0.30,1.20,0.35,1.0,1.7,0.55,FAO-56 Table 12,"Silking and tasseling stage; critical moisture sensitivity Kc_mid=1.20"
Maize,Late-season,0.30,1.20,0.35,1.0,1.7,0.55,FAO-56 Table 12,"Grain denting and physiological maturity; Kc_end=0.35-0.60"
Potato,Initial,0.50,1.15,0.75,0.4,0.6,0.35,FAO-56 Table 12,"Solanum tuberosum; shallow rooted tuber crop; sensitive to moisture fluctuations"
Cotton,Initial,0.35,1.20,0.60,1.0,1.7,0.65,FAO-56 Table 12,"Gossypium hirsutum; warm-season deep-rooted fiber crop"
